year	category	expenditure	sex
1999	Personal Care	408	1
1999	Reading	159	1
1999	Education	635	1
1999	Tobacco Products	300	1
1999	Miscellaneous	867	1
1999	Cash Contributions	1181	1
1999	Personal Insurance	3436	1
1998	Food	4810	1
1998	Alcoholic Beverages	309	1
1998	Housing	11713	1
1998	Apparel	1674	1
1998	Transportation	6616	1
1998	Healthcare	1903	1
1998	Entertainment	1746	1
1998	Personal Care	401	1
1998	Reading	161	1
1998	Education	580	1
1998	Tobacco Products	273	1
1998	Miscellaneous	860	1
1998	Cash Contributions	1109	1
1998	Personal Insurance	3381	1
1997	Food	4801	1
1997	Alcoholic Beverages	309	1
1997	Housing	11272	1
1997	Apparel	1729	1
1997	Transportation	6457	1
1997	Healthcare	1841	1
1997	Entertainment	1813	1
1997	Personal Care	528	1
1997	Reading	164	1
1997	Education	571	1
1997	Tobacco Products	264	1
1997	Miscellaneous	847	1
1997	Cash Contributions	1001	1
1997	Personal Insurance	3223	1
1996	Food	4698	1
1996	Alcoholic Beverages	309	1
1996	Housing	10747	1
1996	Apparel	1752	1
1996	Transportation	6382	1
1996	Healthcare	1770	1
1996	Entertainment	1834	1
1996	Personal Care	513	1
1996	Reading	159	1
1996	Education	524	1
1996	Tobacco Products	255	1
1996	Miscellaneous	855	1
1996	Cash Contributions	940	1
1996	Personal Insurance	3060	1
1995	Food	4505	1
1995	Alcoholic Beverages	277	1
1995	Housing	10458	1
1995	Apparel	1704	1
1995	Transportation	6014	1
1995	Healthcare	1732	1
1995	Entertainment	1612	1
1995	Personal Care	403	1
1995	Reading	162	1
1995	Education	471	1
1995	Tobacco Products	269	1
1995	Miscellaneous	766	1
1995	Cash Contributions	925	1
1995	Personal Insurance	2964	1
1994	Food	4411	1
1994	Alcoholic Beverages	278	1
1994	Housing	10106	1
1994	Apparel	1644	1
1994	Transportation	6044	1
1994	Healthcare	1755	1
1994	Entertainment	1567	1
1994	Personal Care	397	1
1994	Reading	165	1
1994	Education	460	1
1994	Tobacco Products	259	1
1994	Miscellaneous	749	1
1994	Cash Contributions	960	1
1994	Personal Insurance	2938	1
1993	Food	4399	1
1993	Alcoholic Beverages	268	1
1993	Housing	9636	1
1993	Apparel	1676	1
1993	Transportation	5453	1
1993	Healthcare	1776	1
1993	Entertainment	1626	1
1993	Personal Care	385	1
1993	Reading	166	1
1993	Education	455	1
1993	Tobacco Products	268	1
1993	Miscellaneous	715	1
1993	Cash Contributions	961	1
1993	Personal Insurance	2908	1
1992	Food	4723	1
1992	Alcoholic Beverages	301	1
1992	Housing	9477	1
1992	Apparel	1710	1
1992	Transportation	5228	1
1992	Healthcare	1634	1
1992	Entertainment	1500	1
1992	Personal Care	387	1
1992	Reading	162	1
1992	Education	426	1
1992	Tobacco Products	275	1
1992	Miscellaneous	765	1
1992	Cash Contributions	958	1
1992	Personal Insurance	2750	1
1991	Food	4271	1
1991	Alcoholic Beverages	297	1
1991	Housing	9252	1
1991	Apparel	1735	1
1991	Transportation	5151	1
1991	Healthcare	1554	1
1991	Entertainment	1472	1
1991	Personal Care	399	1
1991	Reading	163	1
1991	Education	447	1
1991	Tobacco Products	276	1
1991	Miscellaneous	860	1
1991	Cash Contributions	950	1
1991	Personal Insurance	2787	1
1990	Food	4296	1
1990	Alcoholic Beverages	293	1
1990	Housing	8703	1
1990	Apparel	1618	1
1990	Transportation	5120	1
1990	Healthcare	1480	1
1990	Entertainment	1422	1
1990	Personal Care	364	1
1990	Reading	153	1
1990	Education	406	1
1990	Tobacco Products	274	1
1990	Miscellaneous	842	1
1990	Cash Contributions	816	1
1990	Personal Insurance	2592	1
1989	Food	4152	1
1989	Alcoholic Beverages	284	1
1989	Housing	8609	1
1989	Apparel	1582	1
1989	Transportation	5187	1
1989	Healthcare	1407	1
1989	Entertainment	1424	1
1989	Personal Care	366	1
1989	Reading	157	1
1989	Education	367	1
1989	Tobacco Products	261	1
1989	Miscellaneous	643	1
1989	Cash Contributions	900	1
1989	Personal Insurance	2472	1
1988	Food	3748	1
1988	Alcoholic Beverages	269	1
1988	Housing	8079	1
1988	Apparel	1489	1
1988	Transportation	5093	1
1988	Healthcare	1298	1
1988	Entertainment	1329	1
1988	Personal Care	334	1
1988	Reading	150	1
1988	Education	342	1
1988	Tobacco Products	242	1
1988	Miscellaneous	578	1
1988	Cash Contributions	693	1
1988	Personal Insurance	2249	1
1987	Food	3664	1
1987	Alcoholic Beverages	289	1
1987	Housing	7569	1
1987	Apparel	1446	1
1987	Transportation	4600	1
1987	Healthcare	1135	1
1987	Entertainment	1193	1
1987	Personal Care	330	1
1987	Reading	142	1
1987	Education	337	1
1987	Tobacco Products	232	1
1987	Miscellaneous	562	1
1987	Cash Contributions	741	1
1987	Personal Insurance	2175	1
1986	Food	3448	1
1986	Alcoholic Beverages	271	1
1986	Housing	7292	1
1986	Apparel	1346	1
1986	Transportation	4842	1
1986	Healthcare	1135	1
1986	Entertainment	1149	1
1986	Personal Care	303	1
1986	Reading	140	1
1986	Education	314	1
1986	Tobacco Products	230	1
1986	Miscellaneous	522	1
1986	Cash Contributions	746	1
1986	Personal Insurance	2127	1
1985	Food	3477	1
1985	Alcoholic Beverages	306	1
1985	Housing	7087	1
1985	Apparel	1420	1
1985	Transportation	4587	1
1985	Healthcare	1108	1
1985	Entertainment	1170	1
1985	Personal Care	303	1
1985	Reading	141	1
1985	Education	321	1
1985	Tobacco Products	219	1
1985	Miscellaneous	529	1
1985	Cash Contributions	805	1
1985	Personal Insurance	2016	1
1984	Food	3290	1
1984	Alcoholic Beverages	275	1
1984	Housing	6674	1
1984	Apparel	1319	1
1984	Transportation	4304	1
1984	Healthcare	1049	1
1984	Entertainment	1055	1
1984	Personal Care	289	1
1984	Reading	132	1
1984	Education	303	1
1984	Tobacco Products	228	1
1984	Miscellaneous	451	1
1984	Cash Contributions	706	1
1984	Personal Insurance	1897	1
